atom_id,label,lift,local_freq,global_freq,n_with_report,top3_by_lift,freq_pct
284,Right bundle branch block,8.36,0.35,0.0419,18.0,"Right bundle branch block(lift 8.4,n7) | Possible inferior infarct - age undetermined(lift 6.5,n5) | Sinus tachycardia(lift 4.8,n5)",0.0186241851918978
285,Sinus tachycardia.,25.94,0.45,0.0173,20.0,"Sinus tachycardia.(lift 25.9,n9) | Anterior T wave changes are nonspecific(lift 7.1,n3) | Sinus tachycardia(lift 6.7,n7)",3.8407069690701032
286,Right axis deviation,19.47,0.15,0.0077,20.0,"Right axis deviation(lift 19.5,n3) | Sinus tachycardia.(lift 14.4,n5) | RBBB with left anterior fascicular block(lift 7.6,n4)",2.7908778990919147
287,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
288,NO_SPECIFIC_DX,0.0,0.0,0.0,19.0,,0.0028748742242526
289,Possible ectopic atrial tachycardia,449.46,0.15,0.0003,20.0,"Possible ectopic atrial tachycardia(lift 449.5,n3) | Atrial flutter with rapid ventricular response with 2:1 A-V block(lift 437.8,n8) | Atrial flutter with rapid ventricular response with 2:1 A-V block.(lift 293.3,n5)",1.405813495659565
290,Prolonged QT interval,4.32,0.2,0.0463,17.0,"Prolonged QT interval(lift 4.3,n4)",0.0718718556063172
291,Extensive ST-T changes may be due to hypertrophy and/or ischemia,30.47,0.3,0.0098,20.0,"Extensive ST-T changes may be due to hypertrophy and/or ischemia(lift 30.5,n6) | Atrial fibrillation with rapid ventricular response(lift 21.9,n5) | LVH with secondary repolarization abnormality(lift 13.6,n5)",2.9716199916253663
292,Extensive infarct - age undetermined,57.88,0.35,0.006,20.0,"Extensive infarct - age undetermined(lift 57.9,n7) | Ventricular pacing(lift 36.6,n6) | Pacemaker rhythm - no further analysis(lift 19.7,n7)",0.6459717387364303
293,Possible anterior infarct - age undetermined,3.49,0.15,0.0429,17.0,"Possible anterior infarct - age undetermined(lift 3.5,n3)",0.0041248195391451
294,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
295,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0003749835944677
296,NO_RECORDS,0.0,0.0,0.0,,,0.0
297,Lateral infarct - age undetermined,33.3,0.15,0.0045,20.0,"Lateral infarct - age undetermined(lift 33.3,n3) | Anteroseptal infarct - age undetermined(lift 16.0,n3) | RBBB with left anterior fascicular block(lift 15.2,n8)",0.0158743054991344
298,NO_SPECIFIC_DX,0.0,0.0,0.0,10.0,,0.0014999343778709
299,Atrial-sensed ventricular-paced complexes,933.89,0.3,0.0003,20.0,"Atrial-sensed ventricular-paced complexes(lift 933.9,n6) | Ventricular-paced complexes(lift 239.1,n3) | Atrial-sensed ventricular-paced rhythm(lift 238.1,n3)",1.5088089896067047
300,Extensive infarct - age undetermined,33.07,0.2,0.006,19.0,"Extensive infarct - age undetermined(lift 33.1,n4) | Rightward axis(lift 13.6,n3) | IV conduction defect(lift 4.7,n3)",0.0028748742242526
301,Sinus tachycardia,5.71,0.3,0.0525,10.0,"Sinus tachycardia(lift 5.7,n6)",5.956114419994125
302,Atrial fibrillation with rapid ventricular response.,33.02,0.25,0.0076,18.0,"Atrial fibrillation with rapid ventricular response.(lift 33.0,n5) | Atrial fibrillation with rapid ventricular response(lift 17.5,n4) | Extensive ST-T changes are nonspecific(lift 15.2,n3)",0.0167492672195591
303,Lateral infarct - age undetermined,33.3,0.15,0.0045,19.0,"Lateral infarct - age undetermined(lift 33.3,n3) | Extensive infarct - age undetermined(lift 24.8,n3) | Right axis deviation(lift 19.5,n3)",0.1513683776334785
304,Prolonged QT interval,6.48,0.3,0.0463,20.0,"Prolonged QT interval(lift 6.5,n6) | IV conduction defect(lift 4.7,n3) | Inferior infarct - age undetermined(lift 2.9,n3)",0.0043748086021236
305,NO_SPECIFIC_DX,0.0,0.0,0.0,1.0,,0.0001249945314892
306,Possible septal infarct - age undetermined,18.38,0.273,0.0148,11.0,"Possible septal infarct - age undetermined(lift 18.4,n3) | Left bundle branch block(lift 9.4,n3)",0.0013749398463817
307,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0003749835944677
308,Extensive infarct - age undetermined,41.34,0.25,0.006,20.0,"Extensive infarct - age undetermined(lift 41.3,n5) | Possible lateral infarct - age undetermined(lift 40.1,n4) | Atrial fibrillation with rapid ventricular response.(lift 33.0,n5)",2.45951739611392
309,Low QRS voltages in precordial leads,5.96,0.3,0.0503,14.0,"Low QRS voltages in precordial leads(lift 6.0,n6)",4.407807158436818
310,Sinus tachycardia.,8.65,0.15,0.0173,16.0,"Sinus tachycardia.(lift 8.6,n3) | Possible anterior infarct - age undetermined(lift 4.7,n4) | Sinus tachycardia(lift 2.9,n3)",0.1851169011355753
311,Summary: ABNORMAL ECG,32.9,0.15,0.0046,18.0,"Summary: ABNORMAL ECG(lift 32.9,n3) | Right bundle branch block(lift 3.6,n3) | Left axis deviation(lift 2.1,n4)",0.0033748523502096
312,Left bundle branch block,30.93,0.9,0.0291,20.0,"Left bundle branch block(lift 30.9,n18) | Possible inferior infarct - age undetermined(lift 3.9,n3) | Left axis deviation(lift 3.7,n7)",2.1150324673295544
313,Sinus rhythm with 1st degree A-V block,17.41,0.25,0.0144,20.0,"Sinus rhythm with 1st degree A-V block(lift 17.4,n5) | Lateral T wave changes may be due to myocardial ischemia(lift 13.4,n3) | Possible anterior infarct - age undetermined(lift 12.8,n11)",2.3082740130119306
314,Pacer detection suspended due to external noise-REVIEW ADVISED,93.9,0.15,0.0016,20.0,"Pacer detection suspended due to external noise-REVIEW ADVISED(lift 93.9,n3) | Sinus tachycardia.(lift 23.1,n8) | ST junctional depression is nonspecific(lift 19.9,n5)",2.4910160180492102
315,RVH with secondary repolarization abnormality,309.49,0.2,0.0006,20.0,"RVH with secondary repolarization abnormality(lift 309.5,n4) | Right bundle branch block(lift 19.1,n16) | Low QRS voltages in precordial leads(lift 8.0,n8)",2.7851281506434096
316,NO_SPECIFIC_DX,0.0,0.0,0.0,8.0,,0.0012499453148924
317,Prolonged QT interval,5.4,0.25,0.0463,16.0,"Prolonged QT interval(lift 5.4,n5) | Inferior T wave changes are nonspecific(lift 4.1,n3)",0.0433731024267688
318,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
319,Possible left ventricular hypertrophy,10.08,0.15,0.0149,16.0,"Possible left ventricular hypertrophy(lift 10.1,n3) | Sinus bradycardia(lift 2.0,n3)",4.295312080096496
320,Ventricular pacing.,62.28,0.15,0.0024,20.0,"Ventricular pacing.(lift 62.3,n3) | Pacemaker rhythm - no further analysis(lift 22.5,n8) | Ventricular pacing(lift 18.3,n3)",1.3515658689932315
321,Generalized low QRS voltages,19.63,0.15,0.0076,19.0,"Generalized low QRS voltages(lift 19.6,n3)",3.979325904491679
322,Right axis deviation,90.85,0.7,0.0077,19.0,"Right axis deviation(lift 90.9,n14) | Right ventricular hypertrophy(lift 54.1,n5) | Rightward axis(lift 13.6,n3)",7.163686588711744
323,Possible left anterior fascicular block,22.12,0.3,0.0136,20.0,"Possible left anterior fascicular block(lift 22.1,n6) | Left anterior fascicular block(lift 12.7,n4) | IV conduction defect(lift 9.3,n6)",5.992362834126007
324,Short PR interval,10.77,0.15,0.0139,12.0,"Short PR interval(lift 10.8,n3)",3.196985131900479
325,NO_RECORDS,0.0,0.0,0.0,,,0.0
326,Sinus tachycardia with borderline 1st degree A-V block,199.68,0.15,0.0008,20.0,"Sinus tachycardia with borderline 1st degree A-V block(lift 199.7,n3) | RBBB with left anterior fascicular block(lift 26.6,n14) | Right axis deviation(lift 19.5,n3)",0.4459804883536345
327,Probable junctional rhythm.,804.06,0.2,0.0002,20.0,"Probable junctional rhythm.(lift 804.1,n4) | Regular supraventricular rhythm(lift 68.1,n3) | Prolonged QT interval(lift 13.0,n12)",0.5069778197203872
328,"Anterior ST elevation, probably due to LVH",296.31,0.35,0.0012,20.0,"Anterior ST elevation, probably due to LVH(lift 296.3,n7) | Left atrial enlargement(lift 50.4,n3) | LVH with secondary repolarization abnormality(lift 30.0,n11)",3.959451773984888
329,Sinus bradycardia,6.66,0.5,0.0751,20.0,"Sinus bradycardia(lift 6.7,n10) | Prolonged QT interval(lift 5.4,n5) | Left axis deviation(lift 2.1,n4)",0.3193610279550269
330,Possible left ventricular hypertrophy,13.44,0.2,0.0149,19.0,"Possible left ventricular hypertrophy(lift 13.4,n4) | Short PR interval(lift 10.8,n3) | Sinus tachycardia(lift 10.5,n11)",0.0438730805527258
331,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
332,RBBB with left anterior fascicular block,10.38,0.273,0.0263,10.0,"RBBB with left anterior fascicular block(lift 10.4,n3) | Inferior infarct - age undetermined(lift 7.0,n4) | Left axis deviation(lift 3.9,n4)",0.0013749398463817
333,"Abnormal R-wave progression, early transition",110.02,0.95,0.0086,20.0,"Abnormal R-wave progression, early transition(lift 110.0,n19) | Left ventricular hypertrophy(lift 3.9,n3) | Left axis deviation(lift 1.6,n3)",0.3137362740380108
334,Prolonged QT interval,14.04,0.65,0.0463,20.0,"Prolonged QT interval(lift 14.0,n13) | Sinus bradycardia(lift 6.0,n9) | Lateral T wave changes are nonspecific(lift 5.5,n3)",2.903622966495216
335,Possible lateral infarct - age undetermined,30.04,0.15,0.005,20.0,"Possible lateral infarct - age undetermined(lift 30.0,n3) | Sinus tachycardia.(lift 28.8,n10) | Possible left atrial abnormality(lift 18.7,n7)",0.8453380164617798
336,NO_SPECIFIC_DX,0.0,0.0,0.0,5.0,,0.0006249726574462
337,Lateral ST-T changes may be due to myocardial ischemia,8.24,0.15,0.0182,20.0,"Lateral ST-T changes may be due to myocardial ischemia(lift 8.2,n3) | Sinus bradycardia(lift 4.7,n7)",0.1689926065734624
338,ST junctional depression is nonspecific,11.92,0.15,0.0126,11.0,"ST junctional depression is nonspecific(lift 11.9,n3) | Anterior T wave changes are nonspecific(lift 7.1,n3)",6.607460923584593
339,NO_SPECIFIC_DX,0.0,0.0,0.0,6.0,,11.354878224077696
340,Extensive infarct - age undetermined,66.15,0.4,0.006,20.0,"Extensive infarct - age undetermined(lift 66.1,n8) | Atrial pacing(lift 42.6,n4) | IV conduction defect(lift 14.0,n9)",1.3435662189779196
341,Atrial fibrillation with rapid ventricular response,35.05,0.4,0.0114,20.0,"Atrial fibrillation with rapid ventricular response(lift 35.0,n8) | Atrial fibrillation with rapid ventricular response.(lift 26.4,n4) | Extensive ST-T changes may be due to myocardial ischemia(lift 14.5,n4)",6.705331641740674
342,Sinus tachycardia.,11.53,0.2,0.0173,20.0,"Sinus tachycardia.(lift 11.5,n4) | Sinus tachycardia(lift 11.4,n12)",2.949245970488791
343,Lateral T wave changes are nonspecific,9.23,0.25,0.0271,20.0,"Lateral T wave changes are nonspecific(lift 9.2,n5) | Possible inferior infarct - age undetermined(lift 3.9,n3) | Left axis deviation(lift 3.7,n7)",0.0028748742242526
344,Consider anterior infarct,120.61,0.15,0.0012,20.0,"Consider anterior infarct(lift 120.6,n3) | Low voltage, precordial leads(lift 73.7,n8) | Left anterior fascicular block(lift 53.9,n17)",0.5106026611335754
345,NO_RECORDS,0.0,0.0,0.0,,,0.0
346,Anterolateral ST-T changes may be due to hypertrophy and/or ischemia,169.98,0.45,0.0026,20.0,"Anterolateral ST-T changes may be due to hypertrophy and/or ischemia(lift 170.0,n9) | Possible LVH with secondary repolarization abnormality(lift 110.0,n3) | LVH with secondary repolarization abnormality(lift 35.4,n13)",4.833788521752173
347,Possible idioventricular rhythm with slow ventricular response,320.87,0.15,0.0005,20.0,"Possible idioventricular rhythm with slow ventricular response(lift 320.9,n3) | Atrial fibrillation with slow ventricular response(lift 44.3,n5) | Right bundle branch block(lift 14.3,n12)",1.0205803496097046
348,Prolonged QT interval,14.04,0.65,0.0463,20.0,"Prolonged QT interval(lift 14.0,n13) | Sinus bradycardia.(lift 10.2,n3) | Possible inferior infarct - age undetermined(lift 5.2,n4)",3.1072390582912
349,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0004999781259569
350,A-V sequential pacemaker.,263.75,0.15,0.0006,20.0,"A-V sequential pacemaker.(lift 263.7,n3) | Ventricular pacing.(lift 62.3,n3) | Pacemaker rhythm - no further analysis(lift 19.7,n7)",1.034954720730968
351,Right bundle branch block,15.52,0.65,0.0419,20.0,"Right bundle branch block(lift 15.5,n13) | RBBB with left anterior fascicular block(lift 11.4,n6) | Inferior T wave changes are nonspecific(lift 5.4,n4)",1.5221834044760545
352,Extensive T wave changes may be due to myocardial ischemia,60.21,0.15,0.0025,20.0,"Extensive T wave changes may be due to myocardial ischemia(lift 60.2,n3) | Extensive ST-T changes may be due to hypertrophy and/or ischemia(lift 15.2,n3) | Sinus tachycardia(lift 10.5,n11)",5.742623760210491
353,Possible extensive infarct - age undetermined,79.42,0.15,0.0019,20.0,"Possible extensive infarct - age undetermined(lift 79.4,n3) | Extensive infarct - age undetermined(lift 41.3,n5) | Atrial pacing(lift 32.0,n3)",4.223690213553157
354,Probable left ventricular hypertrophy,39.0,0.15,0.0038,17.0,"Probable left ventricular hypertrophy(lift 39.0,n3) | Age not entered, assumed to be  50 years old for purpose of ECG interpretation(lift 24.1,n3) | Sinus bradycardia(lift 2.0,n3)",4.178942171280006
355,NO_SPECIFIC_DX,0.0,0.0,0.0,3.0,,0.0003749835944677
356,Marked sinus bradycardia.,754.75,0.2,0.0003,20.0,"Marked sinus bradycardia.(lift 754.8,n4) | Marked sinus bradycardia(lift 315.8,n3) | Left bundle branch block(lift 8.6,n5)",2.553513283793834
357,Atrial fibrillation with rapid ventricular response.,19.81,0.15,0.0076,20.0,"Atrial fibrillation with rapid ventricular response.(lift 19.8,n3) | Atrial fibrillation with rapid ventricular response(lift 17.5,n4) | Left bundle branch block(lift 15.5,n9)",1.382564512802565
358,"Poor quality data, interpretation may be affected",3636.52,0.15,0.0,20.0,"Poor quality data, interpretation may be affected(lift 3636.5,n3) | Anterolateral infarct, acute(lift 1121.5,n3) | Extensive infarct - age undetermined(lift 24.8,n3)",0.0548725993237795
359,Extensive infarct - age undetermined,24.8,0.15,0.006,18.0,"Extensive infarct - age undetermined(lift 24.8,n3) | Low QRS voltages in precordial leads(lift 3.0,n3) | Left axis deviation(lift 1.6,n3)",0.0499978125956989
360,Possible septal infarct - age undetermined,23.59,0.35,0.0148,20.0,"Possible septal infarct - age undetermined(lift 23.6,n7) | Lateral T wave changes may be due to myocardial ischemia(lift 22.4,n5) | Possible anteroseptal infarct - age undetermined(lift 20.0,n7)",4.031948602248652
361,Atrial fibrillation with slow ventricular response,35.42,0.2,0.0056,20.0,"Atrial fibrillation with slow ventricular response(lift 35.4,n4) | Atrial fibrillation(lift 9.7,n8) | Possible anterior infarct - age undetermined(lift 4.7,n4)",9.17709850194054
362,Left bundle branch block,10.31,0.3,0.0291,18.0,"Left bundle branch block(lift 10.3,n6) | Right bundle branch block(lift 4.8,n4) | Left axis deviation(lift 2.1,n4)",0.0178742180029623
363,ST junctional depression is nonspecific,15.89,0.2,0.0126,15.0,"ST junctional depression is nonspecific(lift 15.9,n4) | Possible left atrial abnormality(lift 8.0,n3) | Poor R wave progression - probable normal variant(lift 3.2,n3)",5.38076459154912
364,Sinus rhythm with borderline 1st degree A-V block,9.81,0.15,0.0153,14.0,"Sinus rhythm with borderline 1st degree A-V block(lift 9.8,n3)",8.428631247382928
365,Demand pacing,79.51,0.45,0.0057,20.0,"Demand pacing(lift 79.5,n9) | Extensive ST-T changes are nonspecific(lift 25.4,n5)",0.6532214215628066
366,Left axis deviation,5.31,0.5,0.0941,8.0,"Left axis deviation(lift 5.3,n4)",0.0009999562519139
367,A-V sequential pacemaker,136.72,0.35,0.0026,20.0,"A-V sequential pacemaker(lift 136.7,n7) | Accelerated idioventricular rhythm(lift 86.4,n4) | Extensive infarct - age undetermined(lift 41.3,n5)",0.3613591905354141
368,Prolonged QT interval,3.24,0.15,0.0463,19.0,"Prolonged QT interval(lift 3.2,n3)",0.0036248414131881
369,NO_SPECIFIC_DX,0.0,0.0,0.0,7.0,,0.0009999562519139
370,Severe right axis deviation,58.14,0.15,0.0026,20.0,"Severe right axis deviation(lift 58.1,n3) | Ventricular pacing(lift 48.8,n8) | Pacemaker rhythm - no further analysis(lift 30.9,n11)",0.1836169667577043
371,NO_RECORDS,0.0,0.0,0.0,,,0.0
372,Severe right axis deviation,77.52,0.2,0.0026,20.0,"Severe right axis deviation(lift 77.5,n4) | Indeterminate axis(lift 21.3,n3) | Right axis deviation(lift 19.5,n3)",2.758129331841732
373,Atrial pacing,85.27,0.4,0.0047,20.0,"Atrial pacing(lift 85.3,n8) | Possible ectopic atrial rhythm(lift 24.9,n3) | Left bundle branch block(lift 8.6,n5)",0.231489872318086
374,Lateral infarct - age undetermined,133.19,0.6,0.0045,20.0,"Lateral infarct - age undetermined(lift 133.2,n12) | Possible lateral infarct - age undetermined(lift 50.1,n5) | Sinus bradycardia with 1st degree A-V block(lift 40.0,n5)",1.4580612098220702
375,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0003749835944677
376,Right axis deviation,19.47,0.15,0.0077,20.0,"Right axis deviation(lift 19.5,n3) | Rightward axis(lift 18.1,n4) | Possible anteroseptal infarct - age undetermined(lift 14.3,n5)",0.0027498796927634
377,RBBB with left anterior fascicular block,30.44,0.8,0.0263,20.0,"RBBB with left anterior fascicular block(lift 30.4,n16) | Sinus rhythm with 1st degree A-V block(lift 10.4,n3) | Left axis deviation(lift 8.5,n16)",1.2450705281643928
378,Prolonged QT interval,4.32,0.2,0.0463,18.0,"Prolonged QT interval(lift 4.3,n4)",0.1896167042691882
379,NO_SPECIFIC_DX,0.0,0.0,0.0,14.0,,0.0019999125038279
380,Ventricular pacing.,62.28,0.15,0.0024,20.0,"Ventricular pacing.(lift 62.3,n3) | Ventricular pacing(lift 24.4,n4) | Pacemaker rhythm - no further analysis(lift 19.7,n7)",1.9134162880373984
381,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
382,NO_SPECIFIC_DX,0.0,0.0,0.0,8.0,,0.0009999562519139
383,Left bundle branch block,32.65,0.95,0.0291,20.0,"Left bundle branch block(lift 32.7,n19)",1.0853275169211347
384,Pacemaker rhythm - no further analysis,16.87,0.3,0.0178,20.0,"Pacemaker rhythm - no further analysis(lift 16.9,n6) | Possible inferior infarct - age undetermined(lift 3.9,n3) | Right bundle branch block(lift 3.6,n3)",1.7630478666558338
385,NO_SPECIFIC_DX,0.0,0.0,0.0,1.0,,0.0001249945314892
386,A-V sequential pacemaker,58.6,0.15,0.0026,20.0,"A-V sequential pacemaker(lift 58.6,n3) | Indeterminate axis(lift 21.3,n3) | Incomplete RBBB(lift 20.0,n3)",0.0056247539170161
387,Ventricular pacing.,83.03,0.2,0.0024,19.0,"Ventricular pacing.(lift 83.0,n4) | Ventricular pacing(lift 61.0,n10) | Pacemaker rhythm - no further analysis(lift 50.6,n18)",1.115826182604511
388,"ST elev, probable normal early repol pattern",41.53,0.2,0.0048,17.0,"ST elev, probable normal early repol pattern(lift 41.5,n4) | Sinus tachycardia(lift 12.4,n13) | Probable left atrial enlargement(lift 12.4,n4)",4.36593399038792
389,Anterior T wave changes are nonspecific,9.51,0.2,0.021,16.0,"Anterior T wave changes are nonspecific(lift 9.5,n4) | Inferior T wave changes are nonspecific(lift 4.1,n3) | Prolonged QT interval(lift 3.2,n3)",0.0177492234714731
390,Sinus tachycardia,5.6,0.294,0.0525,17.0,"Sinus tachycardia(lift 5.6,n5)",0.0021249070353172
391,Extensive infarct - age undetermined,24.8,0.15,0.006,20.0,"Extensive infarct - age undetermined(lift 24.8,n3) | Left anterior fascicular block(lift 12.7,n4) | Left axis deviation(lift 6.9,n13)",4.07544669920691
392,"Extreme tachycardia with wide complex, no further rhythm analysis attempted",2285.81,0.2,0.0001,20.0,"Extreme tachycardia with wide complex, no further rhythm analysis attempted(lift 2285.8,n4) | Probable ventricular tachycardia.(lift 1395.4,n3) | *** CONSIDER ACUTE ST ELEVATION MI ***(lift 22.9,n5)",0.2211153262044785
393,Sinus bradycardia.,10.16,0.15,0.0148,19.0,"Sinus bradycardia.(lift 10.2,n3) | Sinus bradycardia(lift 6.0,n9)",0.0039998250076559
394,LVH with secondary repolarization abnormality,8.17,0.15,0.0184,19.0,"LVH with secondary repolarization abnormality(lift 8.2,n3) | Inferior infarct - age undetermined(lift 4.8,n5) | Possible inferior infarct - age undetermined(lift 3.9,n3)",8.042398145081153
395,Atrial pacing,106.59,0.5,0.0047,20.0,"Atrial pacing(lift 106.6,n10) | A-V sequential pacemaker(lift 58.6,n3) | Ventricular pacing(lift 24.4,n4)",1.3500659346153605
396,Sinus bradycardia.,13.55,0.2,0.0148,20.0,"Sinus bradycardia.(lift 13.6,n4) | Prolonged QT interval(lift 7.6,n7) | Right bundle branch block(lift 4.8,n4)",9.170223802708632
397,Possible extensive infarct - age undetermined,79.42,0.15,0.0019,20.0,"Possible extensive infarct - age undetermined(lift 79.4,n3) | Sinus tachycardia(lift 9.5,n10) | Left axis deviation(lift 9.0,n17)",0.7305930365546507
398,Poor R wave progression - probable normal variant,4.32,0.2,0.0463,9.0,"Poor R wave progression - probable normal variant(lift 4.3,n4)",9.541082577637228
399,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
400,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
401,Junctional rhythm,496.92,0.2,0.0004,19.0,"Junctional rhythm(lift 496.9,n4) | Anterior infarct, old(lift 59.9,n3) | ST elev, probable normal early repol pattern(lift 41.5,n4)",3.0968645121775924
402,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
403,Sinus rhythm with bigeminal PVCs,410.27,0.3,0.0007,20.0,"Sinus rhythm with bigeminal PVCs(lift 410.3,n6) | Possible left anterior fascicular block(lift 11.1,n3) | Lateral T wave changes are nonspecific(lift 5.5,n3)",12.447205434762228
404,Low QRS voltages in precordial leads,2.98,0.15,0.0503,16.0,"Low QRS voltages in precordial leads(lift 3.0,n3) | Sinus tachycardia(lift 2.9,n3)",9.87306805327267
405,Atrial fibrillation with rapid ventricular response,13.14,0.15,0.0114,20.0,"Atrial fibrillation with rapid ventricular response(lift 13.1,n3) | Atrial fibrillation(lift 10.9,n9) | Inferior T wave changes are nonspecific(lift 5.4,n4)",2.206653458911173
406,Generalized low QRS voltages,32.72,0.25,0.0076,20.0,"Generalized low QRS voltages(lift 32.7,n5) | Atrial fibrillation.(lift 22.8,n5) | Indeterminate axis(lift 21.3,n3)",3.0701156824388933
407,Ventricular pacing,54.86,0.45,0.0082,20.0,"Ventricular pacing(lift 54.9,n9) | Pacemaker rhythm - no further analysis(lift 33.7,n12) | Left bundle branch block(lift 6.9,n4)",0.7880905210397046
408,Sinus bradycardia with 1st degree A-V block,48.01,0.3,0.0062,20.0,"Sinus bradycardia with 1st degree A-V block(lift 48.0,n6) | Prolonged QT interval(lift 6.5,n6) | Possible inferior infarct - age undetermined(lift 3.9,n3)",2.0770341297568238
409,NO_SPECIFIC_DX,0.0,0.0,0.0,2.0,,0.0002499890629784
410,A-V sequential pacemaker,136.72,0.35,0.0026,19.0,"A-V sequential pacemaker(lift 136.7,n7) | Pacemaker rhythm - no further analysis(lift 42.2,n15) | Ventricular pacing(lift 30.5,n5)",0.3816083046366721
411,NO_RECORDS,0.0,0.0,0.0,,,0.0
412,NO_SPECIFIC_DX,0.0,0.0,0.0,5.0,,0.0013749398463817
413,Right axis deviation,74.17,0.571,0.0077,7.0,"Right axis deviation(lift 74.2,n4) | Right bundle branch block(lift 17.1,n5) | Inferior infarct - age undetermined(lift 11.0,n4)",0.0008749617204247
414,NO_SPECIFIC_DX,0.0,0.0,0.0,1.0,,0.0001249945314892
415,Prolonged QT interval,4.32,0.2,0.0463,19.0,"Prolonged QT interval(lift 4.3,n4) | Inferior infarct - age undetermined(lift 3.8,n4) | Atrial fibrillation(lift 3.6,n3)",0.1342441268194516
416,Sinus rhythm with 1st degree A-V block.,42.35,0.2,0.0047,20.0,"Sinus rhythm with 1st degree A-V block.(lift 42.4,n4) | Sinus rhythm with 1st degree A-V block(lift 27.9,n8)",0.9447086689957316
417,Ventricular pacing,18.29,0.15,0.0082,20.0,"Ventricular pacing(lift 18.3,n3) | Pacemaker rhythm - no further analysis(lift 14.1,n5) | *** CONSIDER ACUTE ST ELEVATION MI ***(lift 13.8,n3)",1.9161661677301616
418,Ventricular pacing.,83.03,0.2,0.0024,20.0,"Ventricular pacing.(lift 83.0,n4) | Pacemaker rhythm - no further analysis(lift 33.7,n12) | Ventricular pacing(lift 30.5,n5)",0.398232577324742
419,"Inferior and lateral ST elevation, CONSIDER ACUTE INFARCT",263.17,0.15,0.0006,20.0,"Inferior and lateral ST elevation, CONSIDER ACUTE INFARCT(lift 263.2,n3) | Anteroseptal ST depression is probably reciprocal to inferior infarct(lift 181.6,n3) | Atrial flutter with rapid ventricular response with 2:1 A-V block(lift 164.2,n3)",0.1539932627947527
420,"Extreme tachycardia with wide complex, no further rhythm analysis attempted",1714.36,0.15,0.0001,20.0,"Extreme tachycardia with wide complex, no further rhythm analysis attempted(lift 1714.4,n3) | Probable supraventricular tachycardia.(lift 310.9,n3) | Probable sinus tachycardia(lift 122.3,n3)",0.3239858256201291
421,Atrial fibrillation with rapid ventricular response.,56.6,0.429,0.0076,7.0,"Atrial fibrillation with rapid ventricular response.(lift 56.6,n3) | Atrial fibrillation with rapid ventricular response(lift 37.6,n3) | Possible left ventricular hypertrophy(lift 28.8,n3)",0.0008749617204247
422,Atrial fibrillation with rapid ventricular response.,33.02,0.25,0.0076,20.0,"Atrial fibrillation with rapid ventricular response.(lift 33.0,n5) | Atrial fibrillation(lift 9.7,n8) | Inferior infarct - age undetermined(lift 4.8,n5)",0.0206240976957258
423,Atrial pacing,31.98,0.15,0.0047,20.0,"Atrial pacing(lift 32.0,n3) | Left bundle branch block(lift 27.5,n16) | Ventricular pacing(lift 18.3,n3)",1.1089514833726024
424,NO_SPECIFIC_DX,0.0,0.0,0.0,4.0,,0.0004999781259569
425,"Age not entered, assumed to be  50 years old for purpose of ECG interpretation",24.1,0.15,0.0062,20.0,"Age not entered, assumed to be  50 years old for purpose of ECG interpretation(lift 24.1,n3) | Inferior infarct, old(lift 21.8,n3) | Sinus tachycardia(lift 11.4,n12)",3.477347866030861
426,Incomplete RBBB,33.3,0.25,0.0075,20.0,"Incomplete RBBB(lift 33.3,n5) | Right ventricular hypertrophy(lift 32.5,n3) | Indeterminate axis(lift 28.4,n4)",4.787540545101152
427,Sinus tachycardia.,37.47,0.65,0.0173,20.0,"Sinus tachycardia.(lift 37.5,n13) | ST junctional depression is nonspecific(lift 11.9,n3) | Low QRS voltages in precordial leads(lift 5.0,n5)",2.5673876767891404
428,Probable supraventricular tachycardia.,1139.95,0.55,0.0005,20.0,"Probable supraventricular tachycardia.(lift 1139.9,n11) | Probable supraventricular tachycardia(lift 315.8,n3) | Marked precordial ST depression, CONSIDER ACUTE INFARCT(lift 141.9,n3)",0.0698719431024892
429,Prolonged QT interval,8.64,0.4,0.0463,20.0,"Prolonged QT interval(lift 8.6,n8) | IV conduction defect(lift 4.7,n3) | Sinus bradycardia(lift 4.7,n7)",9.343966201478686
430,Possible ectopic atrial tachycardia,449.46,0.15,0.0003,20.0,"Possible ectopic atrial tachycardia(lift 449.5,n3) | Accelerated idioventricular rhythm.(lift 152.5,n3) | Marked precordial ST depression, CONSIDER ACUTE INFARCT(lift 141.9,n3)",0.0054997593855268
